"assoc_ID","pub_count","first_pub_date","pub_date"
29441,1,"2016-06-20","2016-06-20"
6712,1,"2016-05-16","2016-05-16"
21791,1,"2012-11-01","2012-11-01"
252232,2,"2010-11-21","2015-07-20"
304319,1,"2015-07-20","2015-07-20"
284865,1,"2007-06-06","2007-06-06"
59717,2,"2018-12-06","2019-12-11"
82350,1,"2011-02-06","2011-02-06"
295217,2,"2014-04-15","2014-04-15"
222403,1,"2019-05-14","2019-05-14"
89287,1,"2018-06-11","2018-06-11"
77606,1,"2018-07-16","2018-07-16"
78488,2,"2013-04-01","2018-06-11"
247636,1,"2016-12-06","2016-12-06"
118345,1,"2021-02-03","2021-02-03"
103387,1,"2016-03-08","2016-03-08"
36168,1,"2017-07-17","2017-07-17"
207695,2,"2013-08-25","2018-10-03"
247628,1,"2016-12-06","2016-12-06"
216343,1,"2020-07-17","2020-07-17"
82643,1,"2011-03-06","2011-03-06"
296856,1,"2011-09-18","2011-09-18"
216347,1,"2020-07-17","2020-07-17"
207118,1,"2018-10-03","2018-10-03"
120672,1,"2020-05-29","2020-05-29"
216346,1,"2020-07-17","2020-07-17"
296857,1,"2011-09-18","2011-09-18"
216353,1,"2020-07-17","2020-07-17"
204815,1,"2018-02-26","2018-02-26"
34052,1,"2015-11-25","2015-11-25"
210139,1,"2018-07-30","2018-07-30"
264164,1,"2017-04-17","2017-04-17"
7896,1,"2017-04-17","2017-04-17"
91056,1,"2018-01-04","2018-01-04"
118224,1,"2020-06-08","2020-06-08"
211732,3,"2017-04-17","2018-07-30"
178990,1,"2021-05-14","2021-05-14"
7891,1,"2017-04-17","2017-04-17"
210126,2,"2017-04-17","2018-07-30"
39924,1,"2019-06-07","2019-06-07"
62686,1,"2019-10-24","2019-10-24"
164668,1,"2021-07-21","2021-07-21"
228508,1,"2020-12-03","2020-12-03"
76302,1,"2019-09-05","2019-09-05"
123488,1,"2018-09-07","2018-09-07"
13350,1,"2017-06-09","2017-06-09"
121826,1,"2020-06-08","2020-06-08"
9728,1,"2017-02-14","2017-02-14"
279670,1,"2011-04-03","2011-04-03"
145252,1,"2020-03-30","2020-03-30"
222181,1,"2018-04-26","2018-04-26"
215601,1,"2019-02-04","2019-02-04"
213334,1,"2019-04-02","2019-04-02"
155868,1,"2021-05-17","2021-05-17"
201791,1,"2013-07-14","2013-07-14"
211733,1,"2018-07-30","2018-07-30"
228509,1,"2020-12-03","2020-12-03"
113288,1,"2020-05-06","2020-05-06"
59714,1,"2019-12-11","2019-12-11"
104609,3,"2018-02-17","2018-02-17"
223791,1,"2019-05-14","2019-05-14"
103388,1,"2016-03-08","2016-03-08"
65199,1,"2018-10-08","2018-10-08"
120645,1,"2020-06-08","2020-06-08"
59712,5,"2014-05-18","2019-12-11"
65200,1,"2018-10-08","2018-10-08"
303704,1,"2016-01-28","2016-01-28"
113289,3,"2019-02-04","2020-05-06"
279889,1,"2007-04-26","2007-04-26"
80715,1,"2007-06-07","2007-06-07"
196864,2,"2014-08-07","2014-08-07"
106194,1,"2017-03-02","2017-03-02"
197319,2,"2009-04-29","2013-08-14"
65202,11,"2007-02-11","2018-10-08"
188959,2,"2012-12-03","2012-12-03"
16026,3,"2013-04-01","2017-10-23"
8576,1,"2016-05-16","2016-05-16"
65204,1,"2018-10-08","2018-10-08"
277040,1,"2011-12-11","2011-12-11"
294923,1,"2012-09-06","2012-09-06"
3089,1,"2016-05-16","2016-05-16"
68011,1,"2020-01-09","2020-01-09"
42302,2,"2014-07-27","2017-09-11"
120656,1,"2020-06-08","2020-06-08"
125682,1,"2021-01-04","2021-01-04"
113290,3,"2019-02-04","2020-05-06"
218352,1,"2019-02-04","2019-02-04"
134603,1,"2020-06-08","2020-06-08"
303679,2,"2012-09-06","2016-01-28"
66247,1,"2018-10-08","2018-10-08"
112950,1,"2020-05-06","2020-05-06"
11879,3,"2013-04-01","2017-10-23"
82428,1,"2008-03-30","2008-03-30"
251172,1,"2016-06-27","2016-06-27"
192238,3,"2010-05-09","2013-04-01"
58122,1,"2019-11-22","2019-11-22"
196710,1,"2013-10-15","2013-10-15"
120622,1,"2020-06-08","2020-06-08"
162966,1,"2021-07-21","2021-07-21"
251174,1,"2016-06-27","2016-06-27"
283537,3,"2007-05-27","2011-01-24"
10283,1,"2017-10-23","2017-10-23"
251175,1,"2016-06-27","2016-06-27"
113291,1,"2020-05-06","2020-05-06"
40596,1,"2017-05-31","2017-05-31"
65205,1,"2018-10-08","2018-10-08"
219240,1,"2019-02-04","2019-02-04"
29461,1,"2016-06-20","2016-06-20"
193379,1,"2012-06-15","2012-06-15"
33025,1,"2017-07-13","2017-07-13"
193373,1,"2012-06-15","2012-06-15"
83110,3,"2012-06-13","2013-03-03"
21687,2,"2010-04-12","2010-04-12"
33027,1,"2017-07-13","2017-07-13"
80297,1,"2006-10-19","2006-10-19"
226877,1,"2021-02-24","2021-02-24"
102068,1,"2017-01-09","2017-01-09"
78489,1,"2018-06-11","2018-06-11"
236851,1,"2021-04-22","2021-04-22"
218625,1,"2019-07-15","2019-07-15"
193185,2,"2010-05-02","2011-05-29"
101018,1,"2016-12-19","2016-12-19"
6634,1,"2016-05-16","2016-05-16"
42410,1,"2017-09-11","2017-09-11"
119743,1,"2019-04-01","2019-04-01"
219943,1,"2019-02-04","2019-02-04"
163902,1,"2021-05-28","2021-05-28"
98555,1,"2013-08-25","2013-08-25"
205597,2,"2018-02-26","2018-02-26"
155864,1,"2021-05-17","2021-05-17"
210834,1,"2018-10-03","2018-10-03"
118206,1,"2020-06-08","2020-06-08"
7890,1,"2017-04-17","2017-04-17"
204831,1,"2018-11-30","2018-11-30"
16039,3,"2013-04-01","2017-10-23"
16546,3,"2013-04-01","2017-10-23"
112951,1,"2020-05-06","2020-05-06"
236850,1,"2021-04-22","2021-04-22"
135505,1,"2019-01-19","2019-01-19"
101930,1,"2017-01-09","2017-01-09"
159815,1,"2021-06-14","2021-06-14"
79870,1,"2010-11-18","2010-11-18"
36165,1,"2017-07-17","2017-07-17"
121381,1,"2021-02-03","2021-02-03"
21888,1,"2012-11-01","2012-11-01"
251990,1,"2015-07-20","2015-07-20"
61362,1,"2019-10-24","2019-10-24"
29444,1,"2016-06-20","2016-06-20"
21889,2,"2012-11-01","2012-11-01"
250868,1,"2015-07-20","2015-07-20"
304112,1,"2015-07-20","2015-07-20"
82904,1,"2010-11-21","2010-11-21"
82358,1,"2011-02-06","2011-02-06"
36166,1,"2017-07-17","2017-07-17"
120035,1,"2021-02-03","2021-02-03"
121376,1,"2021-02-03","2021-02-03"
82650,1,"2011-03-06","2011-03-06"
