"phecode","phecode_string","sex","leaf","phecode_top","category"
"008","Intestinal infection","Both",0,"008","infectious diseases"
"010","Tuberculosis","Both",1,"010","infectious diseases"
"031","Diseases due to other mycobacteria","Both",0,"031","infectious diseases"
"038","Septicemia","Both",0,"038","infectious diseases"
"041","Bacterial infection NOS","Both",0,"041","infectious diseases"
"053","Herpes zoster","Both",0,"053","infectious diseases"
"054","Herpes simplex","Both",1,"054","infectious diseases"
"070","Viral hepatitis","Both",0,"070","infectious diseases"
"070.1","Viral hepatitis A","Both",1,"070","infectious diseases"
"070.2","Viral hepatitis B","Both",1,"070","infectious diseases"
"070.3","Viral hepatitis C","Both",1,"070","infectious diseases"
"071","Human immunodeficiency virus [HIV] disease","Both",0,"071","infectious diseases"
"078","Viral warts & HPV","Both",1,"078","infectious diseases"
"079","Viral infection","Both",0,"079","infectious diseases"
"080","Postoperative infection","Both",1,"080","infectious diseases"
"081","Infection/inflammation of internal prosthetic device; implant; and graft","Both",0,"081","infectious diseases"
"090","Sexually transmitted infections (not HIV or hepatitis)","Both",0,"090","infectious diseases"
"110","Dermatophytosis / Dermatomycosis","Both",0,"110","infectious diseases"
"112","Candidiasis","Both",0,"112","infectious diseases"
"117","Mycoses","Both",0,"117","infectious diseases"
"130","Spirochetal infection","Both",0,"130","infectious diseases"
"131","Protozoan infection","Both",1,"131","infectious diseases"
"132","Infestation (lice, mites)","Both",0,"132","infectious diseases"
"133","Arthropod-borne diseases","Both",1,"133","infectious diseases"
"134","Helminthiases","Both",0,"134","infectious diseases"
"136","Other infectious and parasitic diseases","Both",1,"136","infectious diseases"
"150","Cancer of esophagus","Both",1,"150","neoplasms"
"151","Cancer of stomach","Both",1,"151","neoplasms"
"153","Colorectal cancer","Both",0,"153","neoplasms"
"155","Cancer of liver and intrahepatic bile duct","Both",0,"155","neoplasms"
"157","Pancreatic cancer","Both",1,"157","neoplasms"
"159","Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum","Both",0,"159","neoplasms"
"164","Cancer of intrathoracic organs","Both",1,"164","neoplasms"
"165","Cancer within the respiratory system","Both",0,"165","neoplasms"
"170.2","Cancer of connective tissue","Both",1,"170","neoplasms"
"170","Cancer of bone and connective tissue","Both",0,"170","neoplasms"
"172","Skin cancer","Both",0,"172","neoplasms"
"173","Neoplasm of uncertain behavior of skin","Both",1,"173","neoplasms"
"174","Breast cancer","Both",0,"174","neoplasms"
"182","Malignant neoplasm of uterus","Female",1,"182","neoplasms"
"180","Cervical cancer and dysplasia","Female",0,"180","neoplasms"
"184","Cancer of other female genital organs","Female",0,"184","neoplasms"
"185","Cancer of prostate","Male",1,"185","neoplasms"
"187","Cancer of other male genital organs","Male",0,"187","neoplasms"
"189","Cancer of urinary organs (incl. kidney and bladder)","Both",0,"189","neoplasms"
"190","Cancer of eye","Both",1,"190","neoplasms"
"191","Manlignant and unknown neoplasms of brain and nervous system","Both",0,"191","neoplasms"
"193","Thyroid cancer","Both",1,"193","neoplasms"
"194","Cancer of other endocrine glands","Both",1,"194","neoplasms"
"195","Cancer, suspected or other","Both",0,"195","neoplasms"
"196","Radiotherapy","Both",1,"196","neoplasms"
"197","Chemotherapy","Both",1,"197","neoplasms"
"250.12","Type 1 diabetes with renal manifestations","Both",1,"250","endocrine/metabolic"
"198","Secondary malignant neoplasm","Both",0,"198","neoplasms"
"200","Myeloproliferative disease","Both",0,"200","neoplasms"
"201","Hodgkin's disease","Both",1,"201","neoplasms"
"202","Cancer of other lymphoid, histiocytic tissue","Both",0,"202","neoplasms"
"204","Leukemia","Both",0,"204","neoplasms"
"208","Benign neoplasm of colon","Both",1,"208","neoplasms"
"209","Neuroendocrine tumors","Both",1,"209","neoplasms"
"210","Benign neoplasm of lip, oral cavity, and pharynx","Both",1,"210","neoplasms"
"211","Benign neoplasm of other parts of digestive system","Both",1,"211","neoplasms"
"212","Benign neoplasm of respiratory and intrathoracic organs","Both",1,"212","neoplasms"
"213","Benign neoplasm of bone and articular cartilage","Both",1,"213","neoplasms"
"214","Lipoma","Both",0,"214","neoplasms"
"215","Other benign neoplasm of connective and other soft tissue","Both",1,"215","neoplasms"
"216","Benign neoplasm of skin","Both",1,"216","neoplasms"
"218","Benign neoplasm of uterus","Female",0,"218","neoplasms"
"220","Benign neoplasm of ovary","Female",1,"220","neoplasms"
"221","Benign neoplasm of other female genital organs","Female",1,"221","neoplasms"
"222","Benign neoplasm of male genital organs","Male",1,"222","neoplasms"
"223","Benign neoplasm of kidney and other urinary organs","Both",1,"223","neoplasms"
"224","Benign neoplasm of eye","Both",0,"224","neoplasms"
"225","Benign neoplasm of brain and other parts of nervous system","Both",0,"225","neoplasms"
"226","Benign neoplasm of thyroid glands","Both",1,"226","neoplasms"
"227","Benign neoplasm of other endocrine glands and related structures","Both",0,"227","neoplasms"
"228","Hemangioma and lymphangioma, any site","Both",0,"228","neoplasms"
"229","Benign neoplasm of unspecified sites","Both",0,"229","neoplasms"
"230","Kaposi's sarcoma","Both",1,"230","neoplasms"
"240","Simple and unspecified goiter","Both",1,"240","endocrine/metabolic"
"241","Nontoxic nodular goiter","Both",0,"241","endocrine/metabolic"
"242","Thyrotoxicosis with or without goiter","Both",0,"242","endocrine/metabolic"
"244","Hypothyroidism","Both",0,"244","endocrine/metabolic"
"245","Thyroiditis","Both",0,"245","endocrine/metabolic"
"246","Other disorders of thyroid","Both",0,"246","endocrine/metabolic"
"249","Secondary diabetes mellitus","Both",1,"249","endocrine/metabolic"
"250","Diabetes mellitus","Both",0,"250","endocrine/metabolic"
"250.2","Type 2 diabetes","Both",0,"250","endocrine/metabolic"
"250.1","Type 1 diabetes","Both",0,"250","endocrine/metabolic"
"251","Other disorders of pancreatic internal secretion","Both",0,"251","endocrine/metabolic"
"252","Disorders of parathyroid gland","Both",0,"252","endocrine/metabolic"
"253","Disorders of the pituitary gland and its hypothalamic control","Both",0,"253","endocrine/metabolic"
"255","Disorders of adrenal glands","Both",0,"255","endocrine/metabolic"
"256","Ovarian dysfunction","Female",0,"256","endocrine/metabolic"
"257","Testicular dysfunction","Male",0,"257","endocrine/metabolic"
"258","Iatrogenic endocrine disorders","Both",1,"258","endocrine/metabolic"
"259","Other endocrine disorders","Both",0,"259","endocrine/metabolic"
"260","Protein-calorie malnutrition","Both",0,"260","endocrine/metabolic"
"263","Other nutritional deficiency","Both",1,"263","endocrine/metabolic"
"264","Lack of normal physiological development","Both",0,"264","endocrine/metabolic"
"270","Disorders of protein plasma/amino-acid transport and metabolism","Both",0,"270","endocrine/metabolic"
"271","Disorders of carbohydrate transport and metabolism","Both",0,"271","endocrine/metabolic"
"272","Disorders of lipoid metabolism","Both",0,"272","endocrine/metabolic"
"274","Gout and other crystal arthropathies","Both",0,"274","endocrine/metabolic"
"275","Disorders of mineral metabolism","Both",0,"275","endocrine/metabolic"
"275.1","Disorders of iron metabolism","Both",0,"275","hematopoietic"
"275.2","Disorders of copper metabolism","Both",1,"275","endocrine/metabolic"
"275.3","Disorders of magnesium metabolism","Both",1,"275","endocrine/metabolic"
"275.5","Disorders of calcium/phosphorus metabolism","Both",0,"275","endocrine/metabolic"
"276","Disorders of fluid, electrolyte, and acid-base balance","Both",0,"276","endocrine/metabolic"
