"phecode","range_start","range_end"
110,110.00,118.99
112,110.00,118.99
117,110.00,118.99
130,130.00,136.99
131,130.00,136.99
132,130.00,136.99
133,130.00,136.99
134,130.00,136.99
136,130.00,136.99
164,160.00,165.99
165,160.00,165.99
170.2,170.00,171.99
170,170.00,171.99
172,172.00,173.99
173,172.00,173.99
189,188.00,189.99
195,195.00,199.99
196,195.00,199.99
197,195.00,199.99
250.12,249.00,250.99
198,195.00,199.99
200,200.00,204.99
201,200.00,204.99
202,200.00,204.99
204,200.00,204.99
209,209.00,209.99
212,212.00,212.99
213,210.00,229.99
214,214.00,215.99
215,214.00,215.99
216,216.00,217.99
223,210.00,229.99
228,228.00,228.99
229,229.00,229.99
230,230.00,230.99
240,240.00,246.99
241,240.00,246.99
242,240.00,246.99
244,240.00,246.99
245,240.00,246.99
246,240.00,246.99
249,249.00,250.99
250,249.00,250.99
250.2,249.00,250.99
250.1,249.00,250.99
251,251.00,259.99
252,251.00,259.99
253,251.00,259.99
255,251.00,259.99
256,251.00,259.99
257,251.00,259.99
258,251.00,259.99
259,251.00,259.99
260,260.00,264.99
263,260.00,264.99
264,260.00,264.99
270,269.00,270.99
271,271.00,271.99
272,272.00,272.99
274,274.00,274.99
275,275.00,275.99
275.1,275.00,275.99
275.2,275.00,275.99
275.3,275.00,275.99
275.5,275.00,275.99
276,276.00,276.99
277,277.00,277.99
277.4,277.00,277.99
277.5,277.00,277.99
277.6,277.00,277.99
277.7,277.00,277.99
277.8,277.00,277.99
446.3,440.00,449.99
446.6,440.00,449.99
278,278.00,278.99
278.1,278.00,278.99
279,279.00,279.99
280,280.00,285.99
281,280.00,285.99
281.1,280.00,285.99
282,280.00,285.99
282.5,280.00,285.99
283,280.00,285.99
283.1,280.00,285.99
284,280.00,285.99
285,280.00,285.99
286,286.00,287.99
286.1,286.00,287.99
287,286.00,287.99
288.1,288.00,289.99
288,288.00,289.99
289,288.00,289.99
290,290.00,292.99
291,290.00,292.99
293,293.00,293.99
295,295.00,306.99
296,295.00,306.99
296.1,295.00,306.99
296.2,295.00,306.99
300,295.00,306.99
301,295.00,306.99
302,295.00,306.99
306,295.00,306.99
339,339.00,340.99
312,312.00,315.99
313,312.00,315.99
315,312.00,315.99
316,316.00,319.99
317,316.00,319.99
320,320.00,326.90
323,320.00,326.90
324,320.00,326.90
325,320.00,326.90
327,327.00,328.99
327.3,327.00,328.99
340,339.00,340.99
350,350.00,350.99
351,351.00,355.99
352,351.00,355.99
353,351.00,355.99
355,351.00,355.99
356,356.00,359.99
357,356.00,359.99
358,356.00,359.99
359,356.00,359.99
360,360.00,365.99
361,360.00,365.99
363,360.00,365.99
364,360.00,365.99
365,360.00,365.99
366,366.00,366.99
367,367.00,367.99
368,368.00,368.99
369,369.00,374.99
370,369.00,374.99
371,369.00,374.99
372,369.00,374.99
374,369.00,374.99
375,375.00,379.99
376,375.00,379.99
377,375.00,379.99
377.3,375.00,379.99
378,375.00,379.99
379,375.00,379.99
380,380.00,380.99
381,381.00,385.99
383,381.00,385.99
384,381.00,385.99
385,381.00,385.99
386,386.00,386.99
386.1,386.00,386.99
386.2,386.00,386.99
388,387.00,389.99
389,387.00,389.99
394,394.00,399.99
401,401.00,405.99
411,410.00,414.99
415,415.00,417.99
453,450.00,457.99
420,420.00,425.99
425,420.00,425.99
426,426.00,427.99
427,426.00,427.99
427.1,426.00,427.99
427.2,426.00,427.99
428,428.00,429.99
429,428.00,429.99
430,430.00,438.99
433,430.00,438.99
433.2,430.00,438.99
440,440.00,449.99
441,440.00,449.99
442,440.00,449.99
443,440.00,449.99
444,440.00,449.99
446,440.00,449.99
447,440.00,449.99
448,440.00,449.99
451,450.00,457.99
452,450.00,457.99
454,450.00,457.99
455,450.00,457.99
457,450.00,457.99
458,458.00,459.99
459,458.00,459.99
465,460.00,469.99
470,470.00,479.99
471,470.00,479.99
472,470.00,479.99
473,470.00,479.99
474,470.00,479.99
475,470.00,479.99
476,470.00,479.99
477,470.00,479.99
478,470.00,479.99
480,480.00,488.99
481,480.00,488.99
483,480.00,488.99
495,490.00,498.99
496,490.00,498.99
500,500.00,509.99
505,500.00,509.99
506,500.00,509.99
507,500.00,509.99
508,500.00,509.99
510,510.00,510.99
512,512.00,512.99
513,513.00,513.99
514,514.00,514.99
516,516.00,516.99
519,519.00,519.99
520,520.00,526.99
521,520.00,526.99
522,520.00,526.99
523,520.00,526.99
524,520.00,526.99
525,520.00,526.99
526,520.00,526.99
527,527.00,529.99
528,527.00,529.99
649.1,649.00,649.99
529,527.00,529.99
531,531.00,531.99
535,535.00,537.99
536,535.00,537.99
537,535.00,537.99
540,540.00,540.99
550,550.00,550.99
555,555.00,564.99
560,555.00,564.99
562,555.00,564.99
564,555.00,564.99
564.1,555.00,564.99
565,565.00,569.99
567,565.00,569.99
568,565.00,569.99
569,565.00,569.99
571,570.00,573.99
572,570.00,573.99
571.81,570.00,573.99
573,570.00,573.99
574,574.00,576.99
575,574.00,576.99
577,577.00,577.99
578,578.00,579.99
579,578.00,579.99
580,580.00,590.99
585,580.00,590.99
586,580.00,590.99
587,580.00,590.99
588,580.00,590.99
589,580.00,590.99
590,590.00,593.99
591,590.00,593.99
592,590.00,593.99
593,590.00,593.99
595,594.00,595.99
596,595.00,597.99
597,595.00,597.99
