"var"	"Estimate"	"Std..Error"	"z.value"	"Pr...z.."	"X2.5.."	"X97.5.."
"(Intercept)"	2.08479796564169	0.397631089069437	5.24304568468395	1.57947411170482e-07	1.30545535193216	2.86414057935123
"cases"	0.000130085689523827	8.4032664277477e-06	15.4803719056535	4.70743595719144e-54	0.000113615589972947	0.000146555789074707
"cat_LOG10_P"	0.0670165672130217	0.00317168297370893	21.1296550659517	4.24637772120725e-99	0.0608001828141733	0.0732329516118701
"category_stringcirculatory system"	-0.147415610350804	0.0942655876101671	-1.56383272080621	0.117856857855899	-0.332172767048237	0.0373415463466285
"category_stringdermatologic"	-0.514837855669966	0.105305427968665	-4.8889963756015	1.01351361506975e-06	-0.721232701865125	-0.308443009474806
"category_stringdigestive"	-0.443488521502632	0.0781422998301584	-5.67539632780902	1.38367922682747e-08	-0.596644614838873	-0.290332428166391
"category_stringendocrine"	-0.295893780940433	0.103711829780857	-2.85303789900974	0.00433034567947524	-0.499165232081661	-0.0926223297992043
"category_stringgenitourinary"	-0.248929590167684	0.193742124353517	-1.28485011196361	0.198844666974074	-0.628657176188859	0.13079799585349
"category_stringinfectious diseases"	-0.812372166091989	0.32427397418936	-2.50520310216942	0.0122381095900942	-1.44793747662681	-0.176806855557173
"category_stringmetabolic/heme"	0.345642442401263	0.268262411264252	1.28844902561018	0.197589702230092	-0.180142222082542	0.871427106885068
"category_stringmusculoskeletal"	-0.833511813961668	0.134940491611556	-6.17688437330614	6.53789173923922e-10	-1.09799031757645	-0.569033310346889
"category_stringneurological"	-0.578266706294995	0.0948521674258337	-6.09650492960164	1.08412608000442e-09	-0.764173538305193	-0.392359874284798
"category_stringpsychiatric"	-2.09055561255202	0.127920024439751	-16.3426767756494	4.90513443217e-60	-2.34127425335542	-1.83983697174863
"category_stringrespiratory"	-0.911207709492923	0.102705213321674	-8.87206871027088	7.17994559288745e-19	-1.11250622862791	-0.709909190357938
"category_stringsense organs"	-0.850236987222849	0.118169249526416	-7.1950781665308	6.24249922336045e-13	-1.08184446037475	-0.618629514070946
"controls"	2.08394074696742e-06	1.87048806689074e-07	11.1411603412766	7.90822118499769e-29	1.71733182250564e-06	2.4505496714292e-06
"log_cat_OR"	1.81184019081094	0.192796562491831	9.39767891809641	5.57799473378556e-21	1.43396587198382	2.18971450963805
"pub_count"	0.158885878726547	0.0506743695526619	3.13542881991712	0.00171603066791205	0.0595659394640565	0.258205817989037
"pub_date"	-0.000241838278701031	2.2025918611574e-05	-10.979713625835	4.78438065514011e-28	-0.000285008285906127	-0.000198668271495936
"RAF"	0.151566814080306	0.0905494504386736	1.67385680803173	0.0941587445479904	-0.0259068475993892	0.32904047576
