"i"	"phenotype"	"cases"	"controls"	"P"	"Beta"	"L95"	"U95"	"P_lab"
2	"phecode (MCC=2) (n=9059)"	9059	50864	6.71317770242494e-78	0.858649975664931	0.768575823435346	0.948724127894516	"P=6.7e-78"
3	"meds (n=12567)"	12567	50210	6.72411638125542e-104	0.87549413398643	0.796219024156524	0.954769243816335	"P=6.7e-104"
4	"lab (n=7038)"	7038	55739	1.89847261611622e-79	0.942871630628364	0.844954757646776	1.04078850360995	"P=1.9e-79"
5	"PL (n=5973)"	5973	56804	2.66787938819315e-80	1.03120963239687	0.924702438855052	1.13771682593869	"P=2.7e-80"
6	"phecode ∩ meds ∩ labs ∩ PL (n=2648)"	2648	46866	7.56345874271382e-73	1.44788574098735	1.29068696212856	1.60508451984614	"P=7.6e-73"
7	"Only phecode (n=408)"	408	50864	0.515172845577651	0.126267450403911	-0.253999963095627	0.506534863903448	"P=5.2e-01"
8	"Only med (n=2650)"	2650	50210	6.97640577429728e-12	0.538208705436836	0.384395856568469	0.692021554305203	"P=7.0e-12"
9	"Only lab (n=1475)"	1475	55739	2.03555566127469e-12	0.724591547726858	0.522633634515174	0.926549460938542	"P=2.0e-12"
10	"Only PL (n=130)"	130	56804	0.499169539746626	0.230984552196038	-0.438922836197453	0.90089194058953	"P=5.0e-01"
10	"phecode U meds U labs ⋃ PL (n=14864)"	14864	46866	6.39296001654768e-117	0.87857348972459	0.803660458822266	0.953486520626914	"P=6.4e-117"
12	"phecode ⊄ med (n=674)"	674	50864	0.00525738620524801	0.423589121225984	0.126107418799506	0.721070823652462	"P=5.3e-03"
13	"phecode U lab U PL ⋂ med (n=9917)"	9917	46866	5.27726685056206e-110	1.00346336779836	0.915205053913361	1.09172168168337	"P=5.3e-110"
13	"phecode U lab U PL ⋂ med (n=9917)"	9917	46866	5.27726685056206e-110	1.00346336779836	0.915205053913361	1.09172168168337	"P=5.3e-110"
