"assoc_ID","rsID","risk_allele_dir","phecode","phecode_string","category_string","ancestry","cohort","cases","controls","odds_ratio","P","L95","U95","powered","rep","Power","CI_overlap","rOR","rL95","rU95","Study_accession","cat_LOG10_P","cat_OR","cat_L95","cat_U95","RAF","pub_count","first_pub_date"
29441,"rs12260159","ref","340","Migraine","neurological","EUR","BioVU_EUR",3385,47361,0.994097834338425,0.898341589046864,0.907796225277724,1.08860389228212,0,0,0.236092679609699,"overlap",1.00593720804704,0.918607775601121,1.10156880162623,"GCST003720",9.52287874528034,1.086957,1.06,1.12,0.920000016689301,1,2016-06-20
6712,"rs10748781","ref","244","Hypothyroidism","endocrine","EUR","BioVU_EUR",9059,47425,0.960325665750873,0.0162552159170893,0.929136092623094,0.992562221639968,1,1,0.944608503519433,"overlap",1.04131341654615,1.00749351345223,1.07626859825975,"GCST003988",10,1.088,1.06,1.116,0.420800000429153,1,2016-05-16
21791,"rs4409764","ref","555","Inflammatory bowel disease","digestive","EUR","BioVU_EUR",2440,31734,0.868199331796967,2.75696954183359e-06,0.818385973420971,0.921044719989314,1,1,0.996664683717343,"overlap",1.15180922557293,1.0857236117825,1.22191732565975,"GCST001725",54,1.182,1.149,1.217,0.477999985218048,1,2012-11-01
252232,"rs4409764","ref","555.1","Regional enteritis","digestive","EUR","BioVU_EUR",2028,31734,0.86400333245037,9.24605592038989e-06,0.80994191754676,0.921673199414633,1,1,0.99804113859192,"overlap",1.15740294330108,1.08498326807714,1.23465643441311,"GCST003044",46.2218487496164,1.188958,1.17,1.21,0.477999985218048,2,2010-11-21
304319,"rs4409764","ref","555.2","Ulcerative colitis","digestive","EUR","BioVU_EUR",1156,31734,0.884348405352554,0.00391821456012362,0.813499246074616,0.961367949415251,1,1,0.909812285751958,"overlap",1.13077605381257,1.04018445862299,1.22925743917442,"GCST003045",35.698970004336,1.171065,1.15,1.2,0.477999985218048,1,2015-07-20
284865,"rs10883365","ref","555.1","Regional enteritis","digestive","EUR","BioVU_EUR",2028,31734,0.864326877861569,9.63994704620646e-06,0.810273132845999,0.921986576513965,0,1,0.32498964501286,"overlap",1.15696969007154,1.08461448948748,1.2341517439775,"GCST000039",9.39794000867204,1.18,1.05,1.32,0.479699999094009,1,2007-06-06
82350,"rs6584283","ref","555.2","Ulcerative colitis","digestive","EUR","BioVU_EUR",1156,31734,0.884049763761501,0.00380861579153165,0.81324784366199,0.961015748025271,1,1,0.938348917581786,"overlap",1.13115804221829,1.04056567444897,1.22963744422251,"GCST000964",20.0969100130081,1.21,1.16,1.26,0.456999987363815,1,2011-02-06
295217,"rs1035209","alt","153","Colorectal cancer","neoplasms","EUR","BioVU_EUR",2232,48577,1.1016706895323,0.0111263220832076,1.02231901229164,1.18718158772571,0,1,0.52370882792135,"overlap",1.1016706895323,1.02231901229164,1.18718158772571,"GCST002411",10.301029995664,1.12,1.08,1.16,0.194800019264221,2,2014-04-15
222403,"rs2193352","alt","153","Colorectal cancer","neoplasms","EUR","BioVU_EUR",2232,48577,1.10480220219864,0.0090655741095435,1.02512052846026,1.19067745898749,0,1,0.522777778138321,"overlap",1.10480220219864,1.02512052846026,1.19067745898749,"GCST007992",14.698970004336,1.11,1.08,1.14,0.194199979305267,1,2019-05-14
77606,"rs35597970","alt","476","Allergic rhinitis","respiratory","EUR","BioVU_EUR",7369,41565,0.994406804653507,0.756628932468996,0.959751224938387,1.03031375990656,0,0,0.377282274443064,"overlap",0.994406804653507,0.959751224938387,1.03031375990656,"GCST006409",17.301029995664,1.04,1.03,1.05,0.540499985218048,1,2018-07-16
78488,"rs3850699","ref","185","Cancer of prostate","neoplasms","EUR","BioVU_EUR",2035,18717,0.932381942979085,0.0714398464533762,0.864041516662041,1.00612768116961,0,0,0.279504514779187,"overlap",1.07252184314602,0.993909638623115,1.15735179469523,"GCST006085",15.2218487496164,1.07,1.05,1.09,0.678200006484985,2,2013-04-01
